2971755;Roche Trevarec;Roche Trevarec;"Roche Trevarec,Trevaret";47.76667;-4.03333;T;RK;FR;FR;A2;;;;0;;-9999;Europe/Paris;2012-01-18
2971768;Puig des Très Vents;Puig des Tres Vents;Pic des 3 Vents;42.49267;2.46888;T;PK;FR;FR;A9;66;661;66060;0;2731;2679;Europe/Paris;2012-02-27
2971775;Tresserre;Tresserre;Tresserre;42.5641;2.82976;P;PPL;FR;;A9;66;662;66214;697;;147;Europe/Paris;2012-01-18
2971791;Puig de Trés Estelles;Puig de Tres Estelles;;42.50879;2.32336;T;PK;FR;;A9;66;;;0;;2082;Europe/Paris;2011-10-09
2971802;Ridins du Tréport;Ridins du Treport;;50.09201;1.30391;H;SHOL;FR;;B6;;;;0;;-9999;Europe/Paris;1994-01-06
2971952;Trégastel-Plage;Tregastel-Plage;;48.83333;-3.51667;P;PPL;FR;;A2;;;;0;;11;Europe/Paris;1996-12-16
2971961;Pointe de Tréfuntec;Pointe de Trefuntec;"Pointe de Trefentec,Pointe de Trefuntec,Pointe de Tréfentec,Pointe de Tréfuntec";48.13333;-4.28333;T;PT;FR;FR;A2;;;;0;;42;Europe/Paris;2012-01-18
2972012;Île Trébéron;Ile Treberon;;48.30523;-4.53049;T;ISL;FR;;A2;;;;0;;19;Europe/Paris;2007-12-28
2972025;Pointes des Trayas;Pointes des Trayas;;43.48333;6.93333;T;PT;FR;;B8;;;;0;;1;Europe/Paris;1994-01-06
2972030;Colle delle Traversette;Colle delle Traversette;Col de la Traversette;44.71108;7.06617;T;PASS;FR;"IT,FR";00;;;;0;2950;2944;Europe/Paris;2008-07-16
2972054;Traon-ar-Vilar;Traon-ar-Vilar;;48.68333;-3.91667;P;PPL;FR;;A2;;;;0;;-9999;Europe/Paris;1994-01-06
2972103;Île de la Tradelière;Ile de la Tradeliere;;43.51534;7.07332;T;ISL;FR;;B8;;;;0;;-2;Europe/Paris;2011-08-08
